customer_id,customer_name,email,phone,city,state,kyc_status,customer_since,annual_income,employment_type
21,Customer 21,customer21@mail.com,9000000021,Bangalore,Karnataka,verified,2023-01-01,300021,Salaried
22,Customer 22,customer22@mail.com,9000000022,Bangalore,Karnataka,PENDING,2023-01-01,300022,Salaried
23,Customer 23,customer23@mail.com,9000000023,Bangalore,Karnataka,verified,2023-01-01,300023,Salaried
24,Customer 24,customer24@mail.com,9000000024,Bangalore,Karnataka,verified,2023-01-01,300024,Salaried
25,Customer 25,customer25@mail.com,98765abcde,Bangalore,Karnataka,verified,2023-01-01,300025,Salaried
26,Customer 26,customer26@mail.com,9000000026,Bangalore,Karnataka,verified,2023-01-01,300026,Salaried
27,Customer 27,customer27@mail.com,9000000027,Bangalore,Karnataka,verified,2023-01-01,300027,Salaried
28,Customer 28,customer28@mail.com,9000000028,Bangalore,Karnataka,verified,2023-01-01,300028,Salaried
29,Customer 29,customer29@mail.com,9000000029,Bangalore,Karnataka,verified,2023-01-01,300029,Salaried
30,Customer 30,wrong_email,9000000030, delhi ,Karnataka,verified,2023-01-01,300030,Salaried
31,Customer 31,customer31@mail.com,9000000031,Bangalore,Karnataka,verified,2023-01-01,300031,Salaried
32,Customer 32,customer32@mail.com,9000000032,Bangalore,Karnataka,verified,2023-01-01,300032,Salaried
33,Customer 33,customer33@mail.com,9000000033,Bangalore,Karnataka,PENDING,2023-01-01,300033,Salaried
34,Customer 34,customer34@mail.com,9000000034,Bangalore,Karnataka,verified,2023-01-01,300034,Salaried
35,Customer 35,customer35@mail.com,9000000035,Bangalore,Karnataka,verified,2023-01-01,"₹10,00,000",Salaried
36,Customer 36,customer36@mail.com,9000000036,Bangalore,Karnataka,verified,2023-01-01,300036, salaried 
37,Customer 37,customer37@mail.com,9000000037,Bangalore,Karnataka,verified,2023-01-01,300037,Salaried
38,Customer 38,customer38@mail.com,9000000038,Bangalore,Karnataka,verified,2023-01-01,300038,Salaried
39,Customer 39,customer39@mail.com,9000000039,Bangalore,Karnataka,verified,2023-01-01,300039,Salaried
40,  amit sharma  ,customer40@mail.com,9000000040, delhi ,Karnataka,verified,2023-01-01,300040,Salaried
41,Customer 41,customer41@mail.com,9000000041,Bangalore,Karnataka,verified,2023-01-01,300041,Salaried
42,Customer 42,customer42@mail.com,9000000042,Bangalore,Karnataka,verified,2023-01-01,300042,Salaried
43,Customer 43,customer43@mail.com,9000000043,Bangalore,Karnataka,verified,2023-01-01,300043,Salaried
44,Customer 44,customer44@mail.com,9000000044,Bangalore,Karnataka,PENDING,2023-01-01,300044,Salaried
45,Customer 45,customer45@mail.com,9000000045,Bangalore,Karnataka,verified,2023-01-01,300045,Salaried
46,Customer 46,customer46@mail.com,9000000046,Bangalore,Karnataka,verified,2023-01-01,300046,Salaried
47,Customer 47,customer47@mail.com,9000000047,Bangalore,Karnataka,verified,2023-01-01,300047,Salaried
48,Customer 48,customer48@mail.com,9000000048,Bangalore,Karnataka,verified,2023-01-01,300048,Salaried
49,Customer 49,customer49@mail.com,9000000049,Bangalore,Karnataka,verified,2023-01-01,300049,Salaried
50,Customer 50,customer50@mail.com,98765abcde, delhi ,Karnataka,verified,2023-01-01,300050,Salaried
51,Customer 51,customer51@mail.com,9000000051,Bangalore,Karnataka,verified,2023-01-01,300051,Salaried
52,Customer 52,customer52@mail.com,9000000052,Bangalore,Karnataka,verified,2023-01-01,300052,Salaried
53,Customer 53,customer53@mail.com,9000000053,Bangalore,Karnataka,verified,2023-01-01,300053,Salaried
54,Customer 54,customer54@mail.com,9000000054,Bangalore,Karnataka,verified,2023-01-01,300054, salaried 
55,Customer 55,customer55@mail.com,9000000055,Bangalore,Karnataka,PENDING,2023-01-01,300055,Salaried
56,Customer 56,customer56@mail.com,9000000056,Bangalore,Karnataka,verified,2023-01-01,300056,Salaried
57,Customer 57,customer57@mail.com,9000000057,Bangalore,Karnataka,verified,2023-01-01,300057,Salaried
58,Customer 58,customer58@mail.com,9000000058,Bangalore,Karnataka,verified,2023-01-01,300058,Salaried
59,Customer 59,customer59@mail.com,9000000059,Bangalore,Karnataka,verified,2023-01-01,300059,Salaried
60,  amit sharma  ,wrong_email,9000000060, delhi ,Karnataka,verified,2023-01-01,300060,Salaried
61,Customer 61,customer61@mail.com,9000000061,Bangalore,Karnataka,verified,2023-01-01,300061,Salaried
62,Customer 62,customer62@mail.com,9000000062,Bangalore,Karnataka,verified,2023-01-01,300062,Salaried
63,Customer 63,customer63@mail.com,9000000063,Bangalore,Karnataka,verified,2023-01-01,300063,Salaried
64,Customer 64,customer64@mail.com,9000000064,Bangalore,Karnataka,verified,2023-01-01,300064,Salaried
65,Customer 65,customer65@mail.com,9000000065,Bangalore,Karnataka,verified,2023-01-01,300065,Salaried
66,Customer 66,customer66@mail.com,9000000066,Bangalore,Karnataka,PENDING,2023-01-01,300066,Salaried
67,Customer 67,customer67@mail.com,9000000067,Bangalore,Karnataka,verified,2023-01-01,300067,Salaried
68,Customer 68,customer68@mail.com,9000000068,Bangalore,Karnataka,verified,2023-01-01,300068,Salaried
69,Customer 69,customer69@mail.com,9000000069,Bangalore,Karnataka,verified,2023-01-01,300069,Salaried
70,Customer 70,customer70@mail.com,9000000070, delhi ,Karnataka,verified,2023-01-01,"₹10,00,000",Salaried
71,Customer 71,customer71@mail.com,9000000071,Bangalore,Karnataka,verified,2023-01-01,300071,Salaried
72,Customer 72,customer72@mail.com,9000000072,Bangalore,Karnataka,verified,2023-01-01,300072, salaried 
73,Customer 73,customer73@mail.com,9000000073,Bangalore,Karnataka,verified,2023-01-01,300073,Salaried
74,Customer 74,customer74@mail.com,9000000074,Bangalore,Karnataka,verified,2023-01-01,300074,Salaried
75,Customer 75,customer75@mail.com,98765abcde,Bangalore,Karnataka,verified,2023-01-01,300075,Salaried
76,Customer 76,customer76@mail.com,9000000076,Bangalore,Karnataka,verified,2023-01-01,300076,Salaried
77,Customer 77,customer77@mail.com,9000000077,Bangalore,Karnataka,PENDING,2023-01-01,300077,Salaried
78,Customer 78,customer78@mail.com,9000000078,Bangalore,Karnataka,verified,2023-01-01,300078,Salaried
79,Customer 79,customer79@mail.com,9000000079,Bangalore,Karnataka,verified,2023-01-01,300079,Salaried
80,  amit sharma  ,customer80@mail.com,9000000080, delhi ,Karnataka,verified,2023-01-01,300080,Salaried
81,Customer 81,customer81@mail.com,9000000081,Bangalore,Karnataka,verified,2023-01-01,300081,Salaried
82,Customer 82,customer82@mail.com,9000000082,Bangalore,Karnataka,verified,2023-01-01,300082,Salaried
83,Customer 83,customer83@mail.com,9000000083,Bangalore,Karnataka,verified,2023-01-01,300083,Salaried
84,Customer 84,customer84@mail.com,9000000084,Bangalore,Karnataka,verified,2023-01-01,300084,Salaried
85,Customer 85,customer85@mail.com,9000000085,Bangalore,Karnataka,verified,2023-01-01,300085,Salaried
86,Customer 86,customer86@mail.com,9000000086,Bangalore,Karnataka,verified,2023-01-01,300086,Salaried
87,Customer 87,customer87@mail.com,9000000087,Bangalore,Karnataka,verified,2023-01-01,300087,Salaried
88,Customer 88,customer88@mail.com,9000000088,Bangalore,Karnataka,PENDING,2023-01-01,300088,Salaried
89,Customer 89,customer89@mail.com,9000000089,Bangalore,Karnataka,verified,2023-01-01,300089,Salaried
90,Customer 90,wrong_email,9000000090, delhi ,Karnataka,verified,2023-01-01,300090, salaried 
91,Customer 91,customer91@mail.com,9000000091,Bangalore,Karnataka,verified,2023-01-01,300091,Salaried
92,Customer 92,customer92@mail.com,9000000092,Bangalore,Karnataka,verified,2023-01-01,300092,Salaried
93,Customer 93,customer93@mail.com,9000000093,Bangalore,Karnataka,verified,2023-01-01,300093,Salaried
94,Customer 94,customer94@mail.com,9000000094,Bangalore,Karnataka,verified,2023-01-01,300094,Salaried
95,Customer 95,customer95@mail.com,9000000095,Bangalore,Karnataka,verified,2023-01-01,300095,Salaried
96,Customer 96,customer96@mail.com,9000000096,Bangalore,Karnataka,verified,2023-01-01,300096,Salaried
97,Customer 97,customer97@mail.com,9000000097,Bangalore,Karnataka,verified,2023-01-01,300097,Salaried
98,Customer 98,customer98@mail.com,9000000098,Bangalore,Karnataka,verified,2023-01-01,300098,Salaried
99,Customer 99,customer99@mail.com,9000000099,Bangalore,Karnataka,PENDING,2023-01-01,300099,Salaried
100,  amit sharma  ,customer100@mail.com,98765abcde, delhi ,Karnataka,verified,2023-01-01,300100,Salaried
101,Customer 101,customer101@mail.com,9000000101,Bangalore,Karnataka,verified,2023-01-01,300101,Salaried
102,Customer 102,customer102@mail.com,9000000102,Bangalore,Karnataka,verified,2023-01-01,300102,Salaried
103,Customer 103,customer103@mail.com,9000000103,Bangalore,Karnataka,verified,2023-01-01,300103,Salaried
104,Customer 104,customer104@mail.com,9000000104,Bangalore,Karnataka,verified,2023-01-01,300104,Salaried
105,Customer 105,customer105@mail.com,9000000105,Bangalore,Karnataka,verified,2023-01-01,"₹10,00,000",Salaried
106,Customer 106,customer106@mail.com,9000000106,Bangalore,Karnataka,verified,2023-01-01,300106,Salaried
107,Customer 107,customer107@mail.com,9000000107,Bangalore,Karnataka,verified,2023-01-01,300107,Salaried
108,Customer 108,customer108@mail.com,9000000108,Bangalore,Karnataka,verified,2023-01-01,300108, salaried 
109,Customer 109,customer109@mail.com,9000000109,Bangalore,Karnataka,verified,2023-01-01,300109,Salaried
110,Customer 110,customer110@mail.com,9000000110, delhi ,Karnataka,PENDING,2023-01-01,300110,Salaried
111,Customer 111,customer111@mail.com,9000000111,Bangalore,Karnataka,verified,2023-01-01,300111,Salaried
112,Customer 112,customer112@mail.com,9000000112,Bangalore,Karnataka,verified,2023-01-01,300112,Salaried
113,Customer 113,customer113@mail.com,9000000113,Bangalore,Karnataka,verified,2023-01-01,300113,Salaried
114,Customer 114,customer114@mail.com,9000000114,Bangalore,Karnataka,verified,2023-01-01,300114,Salaried
115,Customer 115,customer115@mail.com,9000000115,Bangalore,Karnataka,verified,2023-01-01,300115,Salaried
116,Customer 116,customer116@mail.com,9000000116,Bangalore,Karnataka,verified,2023-01-01,300116,Salaried
117,Customer 117,customer117@mail.com,9000000117,Bangalore,Karnataka,verified,2023-01-01,300117,Salaried
118,Customer 118,customer118@mail.com,9000000118,Bangalore,Karnataka,verified,2023-01-01,300118,Salaried
119,Customer 119,customer119@mail.com,9000000119,Bangalore,Karnataka,verified,2023-01-01,300119,Salaried
120,  amit sharma  ,wrong_email,9000000120, delhi ,Karnataka,verified,2023-01-01,300120,Salaried
121,Customer 121,customer121@mail.com,9000000121,Bangalore,Karnataka,PENDING,2023-01-01,300121,Salaried
122,Customer 122,customer122@mail.com,9000000122,Bangalore,Karnataka,verified,2023-01-01,300122,Salaried
123,Customer 123,customer123@mail.com,9000000123,Bangalore,Karnataka,verified,2023-01-01,300123,Salaried
124,Customer 124,customer124@mail.com,9000000124,Bangalore,Karnataka,verified,2023-01-01,300124,Salaried
125,Customer 125,customer125@mail.com,98765abcde,Bangalore,Karnataka,verified,2023-01-01,300125,Salaried
126,Customer 126,customer126@mail.com,9000000126,Bangalore,Karnataka,verified,2023-01-01,300126, salaried 
127,Customer 127,customer127@mail.com,9000000127,Bangalore,Karnataka,verified,2023-01-01,300127,Salaried
128,Customer 128,customer128@mail.com,9000000128,Bangalore,Karnataka,verified,2023-01-01,300128,Salaried
129,Customer 129,customer129@mail.com,9000000129,Bangalore,Karnataka,verified,2023-01-01,300129,Salaried
130,Customer 130,customer130@mail.com,9000000130, delhi ,Karnataka,verified,2023-01-01,300130,Salaried
131,Customer 131,customer131@mail.com,9000000131,Bangalore,Karnataka,verified,2023-01-01,300131,Salaried
132,Customer 132,customer132@mail.com,9000000132,Bangalore,Karnataka,PENDING,2023-01-01,300132,Salaried
133,Customer 133,customer133@mail.com,9000000133,Bangalore,Karnataka,verified,2023-01-01,300133,Salaried
134,Customer 134,customer134@mail.com,9000000134,Bangalore,Karnataka,verified,2023-01-01,300134,Salaried
135,Customer 135,customer135@mail.com,9000000135,Bangalore,Karnataka,verified,2023-01-01,300135,Salaried
136,Customer 136,customer136@mail.com,9000000136,Bangalore,Karnataka,verified,2023-01-01,300136,Salaried
137,Customer 137,customer137@mail.com,9000000137,Bangalore,Karnataka,verified,2023-01-01,300137,Salaried
138,Customer 138,customer138@mail.com,9000000138,Bangalore,Karnataka,verified,2023-01-01,300138,Salaried
139,Customer 139,customer139@mail.com,9000000139,Bangalore,Karnataka,verified,2023-01-01,300139,Salaried
140,  amit sharma  ,customer140@mail.com,9000000140, delhi ,Karnataka,verified,2023-01-01,"₹10,00,000",Salaried
141,Customer 141,customer141@mail.com,9000000141,Bangalore,Karnataka,verified,2023-01-01,300141,Salaried
142,Customer 142,customer142@mail.com,9000000142,Bangalore,Karnataka,verified,2023-01-01,300142,Salaried
143,Customer 143,customer143@mail.com,9000000143,Bangalore,Karnataka,PENDING,2023-01-01,300143,Salaried
144,Customer 144,customer144@mail.com,9000000144,Bangalore,Karnataka,verified,2023-01-01,300144, salaried 
145,Customer 145,customer145@mail.com,9000000145,Bangalore,Karnataka,verified,2023-01-01,300145,Salaried
146,Customer 146,customer146@mail.com,9000000146,Bangalore,Karnataka,verified,2023-01-01,300146,Salaried
147,Customer 147,customer147@mail.com,9000000147,Bangalore,Karnataka,verified,2023-01-01,300147,Salaried
148,Customer 148,customer148@mail.com,9000000148,Bangalore,Karnataka,verified,2023-01-01,300148,Salaried
149,Customer 149,customer149@mail.com,9000000149,Bangalore,Karnataka,verified,2023-01-01,300149,Salaried
150,Customer 150,wrong_email,98765abcde, delhi ,Karnataka,verified,2023-01-01,300150,Salaried
151,Customer 151,customer151@mail.com,9000000151,Bangalore,Karnataka,verified,2023-01-01,300151,Salaried
152,Customer 152,customer152@mail.com,9000000152,Bangalore,Karnataka,verified,2023-01-01,300152,Salaried
153,Customer 153,customer153@mail.com,9000000153,Bangalore,Karnataka,verified,2023-01-01,300153,Salaried
154,Customer 154,customer154@mail.com,9000000154,Bangalore,Karnataka,PENDING,2023-01-01,300154,Salaried
155,Customer 155,customer155@mail.com,9000000155,Bangalore,Karnataka,verified,2023-01-01,300155,Salaried
156,Customer 156,customer156@mail.com,9000000156,Bangalore,Karnataka,verified,2023-01-01,300156,Salaried
157,Customer 157,customer157@mail.com,9000000157,Bangalore,Karnataka,verified,2023-01-01,300157,Salaried
158,Customer 158,customer158@mail.com,9000000158,Bangalore,Karnataka,verified,2023-01-01,300158,Salaried
159,Customer 159,customer159@mail.com,9000000159,Bangalore,Karnataka,verified,2023-01-01,300159,Salaried
160,  amit sharma  ,customer160@mail.com,9000000160, delhi ,Karnataka,verified,2023-01-01,300160,Salaried
161,Customer 161,customer161@mail.com,9000000161,Bangalore,Karnataka,verified,2023-01-01,300161,Salaried
162,Customer 162,customer162@mail.com,9000000162,Bangalore,Karnataka,verified,2023-01-01,300162, salaried 
163,Customer 163,customer163@mail.com,9000000163,Bangalore,Karnataka,verified,2023-01-01,300163,Salaried
164,Customer 164,customer164@mail.com,9000000164,Bangalore,Karnataka,verified,2023-01-01,300164,Salaried
165,Customer 165,customer165@mail.com,9000000165,Bangalore,Karnataka,PENDING,2023-01-01,300165,Salaried
166,Customer 166,customer166@mail.com,9000000166,Bangalore,Karnataka,verified,2023-01-01,300166,Salaried
167,Customer 167,customer167@mail.com,9000000167,Bangalore,Karnataka,verified,2023-01-01,300167,Salaried
168,Customer 168,customer168@mail.com,9000000168,Bangalore,Karnataka,verified,2023-01-01,300168,Salaried
169,Customer 169,customer169@mail.com,9000000169,Bangalore,Karnataka,verified,2023-01-01,300169,Salaried
170,Customer 170,customer170@mail.com,9000000170, delhi ,Karnataka,verified,2023-01-01,300170,Salaried
171,Customer 171,customer171@mail.com,9000000171,Bangalore,Karnataka,verified,2023-01-01,300171,Salaried
172,Customer 172,customer172@mail.com,9000000172,Bangalore,Karnataka,verified,2023-01-01,300172,Salaried
173,Customer 173,customer173@mail.com,9000000173,Bangalore,Karnataka,verified,2023-01-01,300173,Salaried
174,Customer 174,customer174@mail.com,9000000174,Bangalore,Karnataka,verified,2023-01-01,300174,Salaried
175,Customer 175,customer175@mail.com,98765abcde,Bangalore,Karnataka,verified,2023-01-01,"₹10,00,000",Salaried
176,Customer 176,customer176@mail.com,9000000176,Bangalore,Karnataka,PENDING,2023-01-01,300176,Salaried
177,Customer 177,customer177@mail.com,9000000177,Bangalore,Karnataka,verified,2023-01-01,300177,Salaried
178,Customer 178,customer178@mail.com,9000000178,Bangalore,Karnataka,verified,2023-01-01,300178,Salaried
179,Customer 179,customer179@mail.com,9000000179,Bangalore,Karnataka,verified,2023-01-01,300179,Salaried
180,  amit sharma  ,wrong_email,9000000180, delhi ,Karnataka,verified,2023-01-01,300180, salaried 
181,Customer 181,customer181@mail.com,9000000181,Bangalore,Karnataka,verified,2023-01-01,300181,Salaried
182,Customer 182,customer182@mail.com,9000000182,Bangalore,Karnataka,verified,2023-01-01,300182,Salaried
183,Customer 183,customer183@mail.com,9000000183,Bangalore,Karnataka,verified,2023-01-01,300183,Salaried
184,Customer 184,customer184@mail.com,9000000184,Bangalore,Karnataka,verified,2023-01-01,300184,Salaried
185,Customer 185,customer185@mail.com,9000000185,Bangalore,Karnataka,verified,2023-01-01,300185,Salaried
186,Customer 186,customer186@mail.com,9000000186,Bangalore,Karnataka,verified,2023-01-01,300186,Salaried
187,Customer 187,customer187@mail.com,9000000187,Bangalore,Karnataka,PENDING,2023-01-01,300187,Salaried
188,Customer 188,customer188@mail.com,9000000188,Bangalore,Karnataka,verified,2023-01-01,300188,Salaried
189,Customer 189,customer189@mail.com,9000000189,Bangalore,Karnataka,verified,2023-01-01,300189,Salaried
190,Customer 190,customer190@mail.com,9000000190, delhi ,Karnataka,verified,2023-01-01,300190,Salaried
191,Customer 191,customer191@mail.com,9000000191,Bangalore,Karnataka,verified,2023-01-01,300191,Salaried
192,Customer 192,customer192@mail.com,9000000192,Bangalore,Karnataka,verified,2023-01-01,300192,Salaried
193,Customer 193,customer193@mail.com,9000000193,Bangalore,Karnataka,verified,2023-01-01,300193,Salaried
194,Customer 194,customer194@mail.com,9000000194,Bangalore,Karnataka,verified,2023-01-01,300194,Salaried
195,Customer 195,customer195@mail.com,9000000195,Bangalore,Karnataka,verified,2023-01-01,300195,Salaried
196,Customer 196,customer196@mail.com,9000000196,Bangalore,Karnataka,verified,2023-01-01,300196,Salaried
197,Customer 197,customer197@mail.com,9000000197,Bangalore,Karnataka,verified,2023-01-01,300197,Salaried
198,Customer 198,customer198@mail.com,9000000198,Bangalore,Karnataka,PENDING,2023-01-01,300198, salaried 
199,Customer 199,customer199@mail.com,9000000199,Bangalore,Karnataka,verified,2023-01-01,300199,Salaried
200,  amit sharma  ,customer200@mail.com,98765abcde, delhi ,Karnataka,verified,2023-01-01,300200,Salaried
